Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C8, C9",0805,70,100nF,
"D1, D2",SOD3716X145N,2,1N4148W-7-F,
"IC1, IC10, IC12, IC13, IC15, IC16, IC18, IC19, IC2, IC21, IC22, IC24, IC26, IC27, IC28, IC29, IC4, IC6, IC7, IC9",SOT95P280X145-5N,20,OPA196IDBVR,
"IC11, IC14, IC17, IC20, IC23, IC3, IC30, IC5, IC8",SOP65P640X120-14N,9,MCP41HV51-503E_ST,
IC25,SOIC127P600X175-16N,1,74HC595D_BJ_,
"J1, J2, J24, J3, J4, J5, J6, J7, J8, J9",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,10,Conn_01x02,
"J10, J11, J12, J13, J14, J15, J16, J17",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02,
J18,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04_Pin,
J19,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J20,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
J21,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,Conn_01x08_Pin,
J22,PinHeader_1x01_P2.54mm_Horizontal,1,Conn_01x01,
J23,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
"R1, R10, R11, R13, R14, R16, R17, R19, R2, R20, R22, R23, R25, R26, R27, R28, R29, R30, R31, R32, R34, R35, R36, R4, R40, R41, R43, R5, R7, R8",0805,30,10k,
"R12, R15, R18, R21, R24, R3, R6, R9",0805,8,12.4k,
"R33, R39, R45, R46",0805,4,0,
R42,0805,1,3.9k,
R44,0805,1,18k,
