Designator,Mid X,Mid Y,Rotation,Layer
C1,158.451,-51.913,90.0,top
C10,176.268,-51.79,90.0,top
C11,179.768,-41.84,270.0,top
C12,166.468,-51.54,90.0,top
C13,177.736,-41.84,90.0,top
C14,178.752,-39.046,180.0,top
C15,190.036,-51.79,90.0,top
C16,191.016,-49.05,0.0,top
C17,192.036,-51.79,90.0,top
C18,195.536,-41.84,270.0,top
C19,182.236,-51.54,90.0,top
C2,159.431,-49.173,0.0,top
C20,193.504,-41.84,90.0,top
C21,194.52,-39.046,180.0,top
C22,205.736,-51.760833,90.0,top
C23,206.716,-49.020833,0.0,top
C24,207.736,-51.760833,90.0,top
C25,211.236,-41.810833,270.0,top
C26,197.936,-51.510833,90.0,top
C27,209.204,-41.810833,90.0,top
C28,210.22,-39.016833,180.0,top
C29,221.436,-51.810499,90.0,top
C3,160.451,-51.913,90.0,top
C30,222.416,-49.070499,0.0,top
C31,223.436,-51.810499,90.0,top
C32,226.936,-41.860499,270.0,top
C33,213.636,-51.560499,90.0,top
C34,224.904,-41.860499,90.0,top
C35,225.92,-39.066499,180.0,top
C36,237.236,-51.79,90.0,top
C37,238.216,-49.05,0.0,top
C38,239.236,-51.79,90.0,top
C39,242.736,-41.84,270.0,top
C4,163.951,-41.963,270.0,top
C40,229.436,-51.54,90.0,top
C41,240.704,-41.84,90.0,top
C42,241.72,-39.046,180.0,top
C43,252.868,-51.805367,90.0,top
C44,253.848,-49.065367,0.0,top
C45,254.868,-51.805367,90.0,top
C46,258.368,-41.855367,270.0,top
C47,245.068,-51.555367,90.0,top
C48,256.336,-41.855367,90.0,top
C49,257.352,-39.061367,180.0,top
C5,150.7,-51.1,90.0,top
C50,268.568,-51.75,90.0,top
C51,269.548,-49.01,0.0,top
C52,270.568,-51.75,90.0,top
C53,274.068,-41.8,270.0,top
C54,260.768,-51.5,90.0,top
C55,272.036,-41.8,90.0,top
C56,273.052,-39.006,180.0,top
C57,140.7,-57.8,270.0,top
C58,126.75,-38.6,0.0,top
C59,129.45,-39.6,90.0,top
C6,161.919,-41.963,90.0,top
C60,126.75,-40.6,0.0,top
C61,116.75,-46.15,270.0,top
C62,119.95,-47.1,0.0,top
C63,119.95,-49.1,0.0,top
C64,122.95,-40.6,180.0,top
C65,120.25,-39.8,90.0,top
C66,122.95,-38.6,180.0,top
C67,138.3,-42.062,90.0,top
C68,144.3,-45.85,90.0,top
